time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
071322.00,3206.35960,N,03512.07847,E,1,08,0.00,637.5,M,, , 
071322.00,3206.35960,N,03512.07847,E, , , , , , ,0.0,300316
071324.00,3206.35876,N,03512.07973,E,1,08,0.00,637.4,M,, , 
071324.00,3206.35876,N,03512.07973,E, , , , , , ,2.544,300316
071325.00,3206.35836,N,03512.08035,E,1,08,0.00,637.4,M,, , 
071325.00,3206.35836,N,03512.08035,E, , , , , , ,2.481,300316
071327.00,3206.35741,N,03512.08156,E,1,08,0.00,637.3,M,, , 
071327.00,3206.35741,N,03512.08156,E, , , , , , ,2.493,300316
071329.00,3206.35658,N,03512.08293,E,1,08,0.00,637.6,M,, , 
071329.00,3206.35658,N,03512.08293,E, , , , , , ,2.516,300316
071330.00,3206.35623,N,03512.08359,E,1,08,0.00,637.8,M,, , 
071330.00,3206.35623,N,03512.08359,E, , , , , , ,2.492,300316
071332.00,3206.35557,N,03512.08498,E,1,08,0.00,638.3,M,, , 
071332.00,3206.35557,N,03512.08498,E, , , , , , ,2.478,300316
071333.00,3206.35516,N,03512.08565,E,1,08,0.00,638.0,M,, , 
071333.00,3206.35516,N,03512.08565,E, , , , , , ,2.48,300316
071335.00,3206.35444,N,03512.08707,E,1,08,0.00,637.9,M,, , 
071335.00,3206.35444,N,03512.08707,E, , , , , , ,2.486,300316
071337.00,3206.35384,N,03512.08846,E,1,08,0.00,637.8,M,, , 
071337.00,3206.35384,N,03512.08846,E, , , , , , ,2.469,300316
071339.00,3206.35339,N,03512.08989,E,1,08,0.00,638.3,M,, , 
071339.00,3206.35339,N,03512.08989,E, , , , , , ,2.443,300316
071341.00,3206.35315,N,03512.09140,E,1,08,0.00,638.6,M,, , 
071341.00,3206.35315,N,03512.09140,E, , , , , , ,2.419,300316
071342.00,3206.35309,N,03512.09213,E,1,08,0.00,638.4,M,, , 
071342.00,3206.35309,N,03512.09213,E, , , , , , ,2.399,300316
071344.00,3206.35305,N,03512.09362,E,1,08,0.00,638.5,M,, , 
071344.00,3206.35305,N,03512.09362,E, , , , , , ,2.366,300316
071346.00,3206.35309,N,03512.09514,E,1,08,0.00,639.1,M,, , 
071346.00,3206.35309,N,03512.09514,E, , , , , , ,2.342,300316
071347.00,3206.35311,N,03512.09590,E,1,08,0.00,639.1,M,, , 
071347.00,3206.35311,N,03512.09590,E, , , , , , ,2.331,300316
071348.00,3206.35306,N,03512.09663,E,1,08,0.00,638.8,M,, , 
071348.00,3206.35306,N,03512.09663,E, , , , , , ,2.323,300316
071350.00,3206.35297,N,03512.09800,E,1,08,0.00,638.7,M,, , 
071350.00,3206.35297,N,03512.09800,E, , , , , , ,2.298,300316
071352.00,3206.35309,N,03512.09944,E,1,08,0.00,638.5,M,, , 
071352.00,3206.35309,N,03512.09944,E, , , , , , ,2.277,300316
071354.00,3206.35266,N,03512.10097,E,1,08,0.00,639.8,M,, , 
071354.00,3206.35266,N,03512.10097,E, , , , , , ,2.288,300316
071356.00,3206.35131,N,03512.10180,E,1,08,0.00,640.5,M,, , 
071356.00,3206.35131,N,03512.10180,E, , , , , , ,2.276,300316
071357.00,3206.35066,N,03512.10216,E,1,08,0.00,640.5,M,, , 
071357.00,3206.35066,N,03512.10216,E, , , , , , ,2.265,300316
071359.00,3206.34949,N,03512.10304,E,1,08,0.00,641.3,M,, , 
071359.00,3206.34949,N,03512.10304,E, , , , , , ,2.258,300316
071401.00,3206.34847,N,03512.10430,E,1,08,0.00,641.2,M,, , 
071401.00,3206.34847,N,03512.10430,E, , , , , , ,2.273,300316
071403.00,3206.34764,N,03512.10588,E,1,08,0.00,641.8,M,, , 
071403.00,3206.34764,N,03512.10588,E, , , , , , ,2.299,300316
071404.00,3206.34756,N,03512.10673,E,1,08,0.00,642.3,M,, , 
071404.00,3206.34756,N,03512.10673,E, , , , , , ,2.302,300316
071405.00,3206.34787,N,03512.10750,E,1,08,0.00,641.9,M,, , 
071405.00,3206.34787,N,03512.10750,E, , , , , , ,2.286,300316
071407.00,3206.34902,N,03512.10880,E,1,08,0.00,642.0,M,, , 
071407.00,3206.34902,N,03512.10880,E, , , , , , ,2.228,300316
071409.00,3206.35003,N,03512.11027,E,1,08,0.00,642.3,M,, , 
071409.00,3206.35003,N,03512.11027,E, , , , , , ,2.194,300316
071411.00,3206.35095,N,03512.11189,E,1,08,0.00,642.3,M,, , 
071411.00,3206.35095,N,03512.11189,E, , , , , , ,2.18,300316
071412.00,3206.35132,N,03512.11277,E,1,08,0.00,642.5,M,, , 
