time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
114356.427,3854.928,N,07702.497,W,0,00,,,M,, , 
114400.427,3854.926,N,07702.497,W,0,00,,,M,, , 
114404.427,3854.924,N,07702.497,W,0,00,,,M,, , 
114408.427,3854.923,N,07702.497,W,0,00,,,M,, , 
114412.427,3854.921,N,07702.497,W,0,00,,,M,, , 
114416.427,3854.919,N,07702.497,W,0,00,,,M,, , 
114420.427,3854.917,N,07702.497,W,0,00,,,M,, , 
114427.427,3854.915,N,07702.496,W,0,04,0.1,,M,, , 
114431.427,3854.914,N,07702.495,W,0,04,0.1,,M,, , 
114435.427,3854.912,N,07702.495,W,0,04,0.1,,M,, , 
114439.427,3854.910,N,07702.495,W,0,04,0.1,,M,, , 
114443.427,3854.908,N,07702.495,W,0,04,0.1,,M,, , 
114447.427,3854.907,N,07702.495,W,0,04,0.1,,M,, , 
114451.427,3854.905,N,07702.495,W,0,04,0.1,,M,, , 
114458.427,3854.903,N,07702.496,W,0,04,0.6,,M,, , 
114502.427,3854.901,N,07702.496,W,0,04,0.6,,M,, , 
114506.427,3854.900,N,07702.496,W,0,04,0.6,,M,, , 
114510.427,3854.898,N,07702.497,W,0,04,0.6,,M,, , 
114514.427,3854.896,N,07702.497,W,0,04,0.6,,M,, , 
114518.427,3854.894,N,07702.497,W,0,04,0.6,,M,, , 
114522.427,3854.892,N,07702.497,W,0,04,0.6,,M,, , 
114529.427,3854.891,N,07702.497,W,0,04,0.2,,M,, , 
114533.427,3854.889,N,07702.497,W,0,04,0.2,,M,, , 
114537.427,3854.887,N,07702.497,W,0,04,0.2,,M,, , 
114541.427,3854.885,N,07702.497,W,0,04,0.2,,M,, , 
114545.427,3854.884,N,07702.497,W,0,04,0.2,,M,, , 
114549.427,3854.882,N,07702.496,W,0,04,0.2,,M,, , 
114553.427,3854.880,N,07702.496,W,0,04,0.2,,M,, , 
114557.427,3854.878,N,07702.495,W,0,04,0.2,,M,, , 
114601.427,3854.877,N,07702.494,W,0,04,0.2,,M,, , 
114605.427,3854.876,N,07702.493,W,0,04,0.2,,M,, , 
114609.427,3854.875,N,07702.492,W,0,04,0.2,,M,, , 
114613.427,3854.874,N,07702.490,W,0,04,0.2,,M,, , 
114617.427,3854.873,N,07702.489,W,0,04,0.2,,M,, , 
114621.427,3854.872,N,07702.487,W,0,04,0.2,,M,, , 
114625.427,3854.871,N,07702.486,W,0,04,0.2,,M,, , 
114629.427,3854.870,N,07702.484,W,0,04,0.2,,M,, , 
114633.427,3854.868,N,07702.483,W,0,04,0.2,,M,, , 
114637.427,3854.867,N,07702.481,W,0,04,0.2,,M,, , 
114644.427,3854.867,N,07702.480,W,0,04,0.7,,M,, , 
114648.427,3854.866,N,07702.478,W,0,04,0.7,,M,, , 
114652.427,3854.865,N,07702.477,W,0,04,0.7,,M,, , 
114656.427,3854.863,N,07702.475,W,0,04,0.7,,M,, , 
114700.427,3854.862,N,07702.474,W,0,04,0.7,,M,, , 
114704.427,3854.861,N,07702.473,W,0,04,0.7,,M,, , 
114708.427,3854.859,N,07702.472,W,0,04,0.7,,M,, , 
114715.427,3854.858,N,07702.471,W,0,04,0.2,,M,, , 
114719.427,3854.856,N,07702.470,W,0,04,0.2,,M,, , 
114723.427,3854.855,N,07702.469,W,0,04,0.2,,M,, , 
114727.427,3854.853,N,07702.468,W,0,04,0.2,,M,, , 
