time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
173845.878,5109.4000,N,00641.6735,E,1,04,14.5,123.1,M,47.6, , 
173846.878,5109.4000,N,00641.6735,E,1,04,14.5,123.0,M,47.6, , 
173847.878,5109.4000,N,00641.6735,E,1,04,14.4,123.1,M,47.6, , 
173848.878,5109.3999,N,00641.6734,E,1,04,14.4,123.3,M,47.6, , 
173849.878,5109.3998,N,00641.6732,E,1,04,14.4,123.5,M,47.6, , 
173850.878,5109.3997,N,00641.6731,E,1,04,14.4,123.7,M,47.6, , 
173851.878,5109.3996,N,00641.6729,E,1,04,14.4,123.9,M,47.6, , 
173852.878,5109.3995,N,00641.6728,E,1,04,14.4,124.0,M,47.6, , 
173853.878,5109.3994,N,00641.6727,E,1,04,14.3,124.1,M,47.6, , 
173854.878,5109.3994,N,00641.6727,E,1,04,14.3,124.1,M,47.6, , 
173855.878,5109.3994,N,00641.6726,E,1,04,14.3,124.1,M,47.6, , 
173856.878,5109.3993,N,00641.6727,E,1,04,14.3,124.0,M,47.6, , 
173857.878,5109.3993,N,00641.6727,E,1,04,14.3,123.9,M,47.6, , 
173858.878,5109.3993,N,00641.6728,E,1,04,14.3,123.8,M,47.6, , 
173859.878,5109.3994,N,00641.6728,E,1,04,14.2,123.6,M,47.6, , 
173900.878,5109.3994,N,00641.6729,E,1,04,14.2,123.4,M,47.6, , 
173901.878,5109.3994,N,00641.6730,E,1,04,14.2,123.2,M,47.6, , 
173902.877,5109.3995,N,00641.6732,E,1,04,14.2,122.9,M,47.6, , 
173903.877,5109.3995,N,00641.6733,E,1,04,14.2,122.7,M,47.6, , 
173904.877,5109.3995,N,00641.6734,E,1,04,14.2,122.4,M,47.6, , 
173905.877,5109.3996,N,00641.6735,E,1,04,14.1,122.2,M,47.6, , 
173906.877,5109.3996,N,00641.6736,E,1,04,14.1,122.0,M,47.6, , 
173907.877,5109.3996,N,00641.6737,E,1,04,14.1,121.8,M,47.6, , 
173908.877,5109.3996,N,00641.6738,E,1,04,14.1,121.6,M,47.6, , 
173909.877,5109.3996,N,00641.6738,E,1,04,14.1,121.5,M,47.6, , 
173910.877,5109.3996,N,00641.6739,E,1,04,14.1,121.4,M,47.6, , 
173911.877,5109.3996,N,00641.6739,E,1,04,14.1,121.3,M,47.6, , 
173912.877,5109.3997,N,00641.6740,E,1,04,14.0,121.2,M,47.6, , 
173913.877,5109.3997,N,00641.6741,E,1,04,14.0,121.0,M,47.6, , 
173914.877,5109.3997,N,00641.6742,E,1,04,14.0,120.9,M,47.6, , 
173915.877,5109.3997,N,00641.6743,E,1,04,14.0,120.9,M,47.6, , 
173916.877,5109.3996,N,00641.6743,E,1,04,14.0,120.9,M,47.6, , 
173917.877,5109.3996,N,00641.6743,E,1,04,14.0,121.0,M,47.6, , 
173918.876,5109.3995,N,00641.6743,E,1,04,13.9,121.0,M,47.6, , 
173919.876,5109.3995,N,00641.6743,E,1,04,13.9,121.1,M,47.6, , 
173920.876,5109.3995,N,00641.6743,E,1,04,13.9,121.2,M,47.6, , 
173921.876,5109.3994,N,00641.6743,E,1,04,13.9,121.2,M,47.6, , 
173922.876,5109.3994,N,00641.6743,E,1,04,13.9,121.2,M,47.6, , 
173923.876,5109.3994,N,00641.6743,E,1,04,13.9,121.2,M,47.6, , 
173924.876,5109.3994,N,00641.6744,E,1,04,13.8,121.2,M,47.6, , 
173925.876,5109.3994,N,00641.6743,E,1,04,13.8,121.2,M,47.6, , 
173926.876,5109.3994,N,00641.6743,E,1,04,13.8,121.2,M,47.6, , 
173927.876,5109.3993,N,00641.6743,E,1,04,13.8,121.3,M,47.6, , 
173928.876,5109.3993,N,00641.6743,E,1,04,13.8,121.3,M,47.6, , 
173929.876,5109.3993,N,00641.6742,E,1,04,13.8,121.3,M,47.6, , 
173930.876,5109.3993,N,00641.6742,E,1,04,13.8,121.3,M,47.6, , 
173931.876,5109.3993,N,00641.6742,E,1,04,13.7,121.3,M,47.6, , 
173932.876,5109.3993,N,00641.6742,E,1,04,13.7,121.3,M,47.6, , 
173933.876,5109.3993,N,00641.6742,E,1,04,13.7,121.3,M,47.6, , 
173934.876,5109.3993,N,00641.6742,E,1,04,13.7,121.2,M,47.6, , 
173935.875,5109.3993,N,00641.6743,E,1,04,13.7,121.2,M,47.6, , 
173936.875,5109.3992,N,00641.6743,E,1,04,13.7,121.2,M,47.6, , 
173937.875,5109.3992,N,00641.6742,E,1,04,13.7,121.3,M,47.6, , 
173938.875,5109.3991,N,00641.6742,E,1,04,13.6,121.4,M,47.6, , 
173939.875,5109.3991,N,00641.6741,E,1,04,13.6,121.6,M,47.6, , 
173940.875,5109.3990,N,00641.6740,E,1,04,13.6,121.7,M,47.6, , 
173941.875,5109.3989,N,00641.6739,E,1,04,13.6,121.9,M,47.6, , 
173942.875,5109.3989,N,00641.6738,E,1,04,13.6,122.1,M,47.6, , 
173943.875,5109.3988,N,00641.6737,E,1,04,13.6,122.2,M,47.6, , 
173944.875,5109.3988,N,00641.6737,E,1,04,13.5,122.3,M,47.6, , 
173945.875,5109.3988,N,00641.6737,E,1,04,13.5,122.4,M,47.6, , 
173946.875,5109.3987,N,00641.6737,E,1,04,13.5,122.4,M,47.6, , 
173947.875,5109.3987,N,00641.6737,E,1,04,13.5,122.4,M,47.6, , 
173948.875,5109.3987,N,00641.6738,E,1,04,13.5,122.4,M,47.6, , 
173949.875,5109.3987,N,00641.6738,E,1,04,13.5,122.4,M,47.6, , 
173950.875,5109.3987,N,00641.6738,E,1,04,13.5,122.4,M,47.6, , 
173951.874,5109.3987,N,00641.6739,E,1,04,13.4,122.4,M,47.6, , 
173952.874,5109.3987,N,00641.6739,E,1,04,13.4,122.3,M,47.6, , 
173953.874,5109.3987,N,00641.6740,E,1,04,13.4,122.2,M,47.6, , 
173954.874,5109.3987,N,00641.6740,E,1,04,13.4,122.2,M,47.6, , 
173955.874,5109.3987,N,00641.6741,E,1,04,13.4,122.2,M,47.6, , 
173956.874,5109.3986,N,00641.6741,E,1,04,13.4,122.2,M,47.6, , 
173957.874,5109.3986,N,00641.6740,E,1,04,13.4,122.3,M,47.6, , 
173958.874,5109.3985,N,00641.6740,E,1,04,13.3,122.4,M,47.6, , 
173959.874,5109.3985,N,00641.6740,E,1,04,13.3,122.5,M,47.6, , 
174000.874,5109.3985,N,00641.6740,E,1,04,13.3,122.5,M,47.6, , 
174001.874,5109.3985,N,00641.6741,E,1,04,13.3,122.5,M,47.6, , 
174002.874,5109.3985,N,00641.6741,E,1,04,13.3,122.5,M,47.6, , 
174003.874,5109.3984,N,00641.6741,E,1,04,13.3,122.6,M,47.6, , 
174004.874,5109.3984,N,00641.6740,E,1,04,13.3,122.7,M,47.6, , 
174005.874,5109.4003,N,00641.6784,E,1,05,3.9,116.5,M,47.6, , 
174006.874,5109.4013,N,00641.6808,E,1,05,3.9,113.2,M,47.6, , 
174007.874,5109.4018,N,00641.6820,E,1,05,3.9,111.4,M,47.6, , 
174008.873,5109.4023,N,00641.6831,E,1,05,3.9,109.8,M,47.6, , 
174009.873,5109.4025,N,00641.6837,E,1,05,3.9,109.0,M,47.6, , 
174010.873,5109.4028,N,00641.6842,E,1,05,3.9,108.3,M,47.6, , 
174011.873,5109.4030,N,00641.6848,E,1,05,3.9,107.5,M,47.6, , 
174012.873,5109.4032,N,00641.6852,E,1,05,3.9,106.9,M,47.6, , 
174013.873,5109.4033,N,00641.6856,E,1,05,3.9,106.3,M,47.6, , 
174014.873,5109.4033,N,00641.6858,E,1,05,3.9,106.1,M,47.6, , 
174015.873,5109.4034,N,00641.6860,E,1,05,3.9,105.8,M,47.6, , 
174016.873,5109.4036,N,00641.6863,E,1,05,3.9,105.3,M,47.6, , 
174017.873,5109.4037,N,00641.6866,E,1,05,3.9,104.8,M,47.6, , 
174018.873,5109.4038,N,00641.6870,E,1,05,3.9,104.2,M,47.6, , 
174019.873,5109.4040,N,00641.6872,E,1,05,3.9,103.8,M,47.6, , 
174020.873,5109.4040,N,00641.6874,E,1,05,3.9,103.4,M,47.6, , 
174021.873,5109.4041,N,00641.6875,E,1,05,3.9,103.1,M,47.6, , 
174022.873,5109.4041,N,00641.6875,E,1,05,3.9,103.0,M,47.6, , 
174023.873,5109.4041,N,00641.6875,E,1,05,3.9,102.9,M,47.6, , 
174024.872,5109.4041,N,00641.6874,E,1,05,3.9,103.0,M,47.6, , 
174025.872,5109.4040,N,00641.6872,E,1,05,3.9,103.1,M,47.6, , 
174026.872,5109.4039,N,00641.6870,E,1,05,3.9,103.3,M,47.6, , 
174027.872,5109.4038,N,00641.6867,E,1,05,3.9,103.6,M,47.6, , 
174028.872,5109.4037,N,00641.6864,E,1,05,3.9,103.9,M,47.6, , 
174029.872,5109.4035,N,00641.6862,E,1,05,3.9,104.1,M,47.6, , 
174030.872,5109.4035,N,00641.6860,E,1,05,3.9,104.2,M,47.6, , 
174031.872,5109.4034,N,00641.6860,E,1,05,3.9,104.1,M,47.6, , 
174032.872,5109.4034,N,00641.6859,E,1,05,3.9,104.1,M,47.6, , 
174033.872,5109.4034,N,00641.6860,E,1,05,3.9,103.9,M,47.6, , 
174034.872,5109.4035,N,00641.6860,E,1,05,3.9,103.7,M,47.6, , 
174035.872,5109.4035,N,00641.6860,E,1,05,3.9,103.6,M,47.6, , 
174036.872,5109.4035,N,00641.6860,E,1,05,3.9,103.5,M,47.6, , 
174037.872,5109.4035,N,00641.6860,E,1,05,3.9,103.3,M,47.6, , 
174038.872,5109.4035,N,00641.6860,E,1,05,3.9,103.2,M,47.6, , 
174039.872,5109.4035,N,00641.6860,E,1,05,3.9,103.0,M,47.6, , 
174040.872,5109.4035,N,00641.6860,E,1,05,3.9,102.8,M,47.6, , 
174041.871,5109.4035,N,00641.6861,E,1,05,3.9,102.7,M,47.6, , 
174042.871,5109.4035,N,00641.6861,E,1,05,3.9,102.6,M,47.6, , 
174043.871,5109.4035,N,00641.6862,E,1,05,3.9,102.6,M,47.6, , 
174044.871,5109.4035,N,00641.6863,E,1,05,3.9,102.4,M,47.6, , 
174045.871,5109.4036,N,00641.6864,E,1,05,3.9,102.3,M,47.6, , 
174046.871,5109.4036,N,00641.6865,E,1,05,3.9,102.2,M,47.6, , 
174047.871,5109.4036,N,00641.6867,E,1,05,3.9,102.0,M,47.6, , 
174048.871,5109.4037,N,00641.6869,E,1,05,3.9,101.8,M,47.6, , 
174049.871,5109.4038,N,00641.6871,E,1,05,3.9,101.6,M,47.6, , 
174050.871,5109.4039,N,00641.6874,E,1,05,3.9,101.4,M,47.6, , 
174051.871,5109.4040,N,00641.6876,E,1,05,3.9,101.2,M,47.6, , 
174052.871,5109.4041,N,00641.6877,E,1,05,3.9,101.0,M,47.6, , 
174053.871,5109.4042,N,00641.6879,E,1,05,3.9,100.8,M,47.6, , 
174054.871,5109.4042,N,00641.6881,E,1,05,3.9,100.5,M,47.6, , 
174055.871,5109.4043,N,00641.6882,E,1,05,3.9,100.2,M,47.6, , 
174056.871,5109.4043,N,00641.6883,E,1,05,3.9,99.9,M,47.6, , 
174057.870,5109.4044,N,00641.6884,E,1,05,3.9,99.6,M,47.6, , 
174058.870,5109.4044,N,00641.6885,E,1,05,3.9,99.5,M,47.6, , 
174059.870,5109.4044,N,00641.6885,E,1,05,3.9,99.4,M,47.6, , 
174100.870,5109.4044,N,00641.6885,E,1,05,3.9,99.3,M,47.6, , 
174101.870,5109.4044,N,00641.6885,E,1,05,3.9,99.4,M,47.6, , 
174102.870,5109.4043,N,00641.6883,E,1,05,3.9,99.5,M,47.6, , 
174103.870,5109.4042,N,00641.6883,E,1,05,3.9,99.7,M,47.6, , 
174104.870,5109.4042,N,00641.6882,E,1,05,3.9,99.9,M,47.6, , 
174105.870,5109.4041,N,00641.6881,E,1,05,3.9,100.1,M,47.6, , 
174106.870,5109.4041,N,00641.6882,E,1,05,3.9,100.2,M,47.6, , 
174107.870,5109.4041,N,00641.6882,E,1,05,3.9,100.3,M,47.6, , 
174108.870,5109.4041,N,00641.6882,E,1,05,3.9,100.4,M,47.6, , 
174109.870,5109.4041,N,00641.6882,E,1,05,3.9,100.5,M,47.6, , 
174110.870,5109.4041,N,00641.6882,E,1,05,3.9,100.7,M,47.6, , 
