time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
014708.7,3206.362312,N,03512.312564,E,1,07,1.4,639.7,M,19.0, , 
014708.7,3206.362312,N,03512.312564,E, , , , , , ,1.3,010416
015722.0,3206.361477,N,03512.315918,E,1,05,1.9,658.7,M,19.0, , 
015722.0,3206.361477,N,03512.315918,E, , , , , , ,0.0,010416
091214.0,3205.566030,N,03505.237909,E,1,04,1.5,613.7,M,19.0, , 
091214.0,3205.566030,N,03505.237909,E, , , , , , ,67.3,010416
091223.0,3205.632578,N,03505.021573,E,1,04,1.5,569.1,M,19.0, , 
091223.0,3205.632578,N,03505.021573,E, , , , , , ,74.0,010416
091224.0,3205.638736,N,03504.996778,E,1,04,1.5,562.0,M,19.0, , 
091224.0,3205.638736,N,03504.996778,E, , , , , , ,73.7,010416
091225.0,3205.643913,N,03504.983670,E,1,04,1.5,554.9,M,19.0, , 
091225.0,3205.643913,N,03504.983670,E, , , , , , ,63.0,010416
091226.0,3205.648479,N,03504.963106,E,1,04,1.5,551.5,M,19.0, , 
091226.0,3205.648479,N,03504.963106,E, , , , , , ,62.9,010416
091227.0,3205.653015,N,03504.944324,E,1,04,1.6,556.5,M,19.0, , 
091227.0,3205.653015,N,03504.944324,E, , , , , , ,62.0,010416
091228.0,3205.658901,N,03504.935255,E,1,04,1.6,555.3,M,19.0, , 
091228.0,3205.658901,N,03504.935255,E, , , , , , ,59.5,010416
091229.0,3205.666688,N,03504.915499,E,1,04,1.6,553.2,M,19.0, , 
091229.0,3205.666688,N,03504.915499,E, , , , , , ,60.0,010416
091230.0,3205.671742,N,03504.890653,E,1,04,1.6,554.3,M,19.0, , 
091230.0,3205.671742,N,03504.890653,E, , , , , , ,62.1,010416
091231.0,3205.678322,N,03504.873343,E,1,04,1.6,555.3,M,19.0, , 
091231.0,3205.678322,N,03504.873343,E, , , , , , ,61.8,010416
091232.0,3205.682819,N,03504.857257,E,1,04,1.6,557.7,M,19.0, , 
091232.0,3205.682819,N,03504.857257,E, , , , , , ,60.3,010416
091233.0,3205.685690,N,03504.838559,E,1,04,1.6,556.8,M,19.0, , 
091233.0,3205.685690,N,03504.838559,E, , , , , , ,59.3,010416
091234.0,3205.691380,N,03504.829937,E,1,04,1.6,557.2,M,19.0, , 
091234.0,3205.691380,N,03504.829937,E, , , , , , ,56.9,010416
091235.0,3205.696705,N,03504.810372,E,1,04,1.6,554.2,M,19.0, , 
091235.0,3205.696705,N,03504.810372,E, , , , , , ,57.4,010416
091236.0,3205.700572,N,03504.791790,E,1,04,1.6,551.3,M,19.0, , 
091236.0,3205.700572,N,03504.791790,E, , , , , , ,58.5,010416
091237.0,3205.704739,N,03504.772422,E,1,04,1.6,553.1,M,19.0, , 
091237.0,3205.704739,N,03504.772422,E, , , , , , ,58.5,010416
091238.0,3205.709297,N,03504.753935,E,1,03,1.8,555.3,M,19.0, , 
091238.0,3205.709297,N,03504.753935,E, , , , , , ,58.5,010416
091239.0,3205.713933,N,03504.738266,E,1,03,1.8,556.5,M,19.0, , 
091239.0,3205.713933,N,03504.738266,E, , , , , , ,57.6,010416
091241.0,3205.722651,N,03504.702009,E,1,03,1.8,559.5,M,19.0, , 
091241.0,3205.722651,N,03504.702009,E, , , , , , ,57.8,010416
091922.0,3206.124167,N,03458.359975,E,1,06,1.2,55.7,M,19.0, , 
091922.0,3206.124167,N,03458.359975,E, , , , , , ,64.4,010416
091924.0,3206.134858,N,03458.315052,E,1,05,1.4,57.0,M,19.0, , 
091924.0,3206.134858,N,03458.315052,E, , , , , , ,66.0,010416
091925.0,3206.147900,N,03458.286944,E,1,05,1.4,54.9,M,19.0, , 
091925.0,3206.147900,N,03458.286944,E, , , , , , ,66.9,010416
091926.0,3206.152396,N,03458.268899,E,1,05,1.4,54.8,M,19.0, , 
091926.0,3206.152396,N,03458.268899,E, , , , , , ,65.8,010416
091927.0,3206.160156,N,03458.243142,E,1,06,1.3,55.4,M,19.0, , 
091927.0,3206.160156,N,03458.243142,E, , , , , , ,65.9,010416
091928.0,3206.165425,N,03458.224939,E,1,06,1.3,55.2,M,19.0, , 
091928.0,3206.165425,N,03458.224939,E, , , , , , ,65.7,010416
091929.0,3206.173746,N,03458.203082,E,1,05,1.5,55.9,M,19.0, , 
091929.0,3206.173746,N,03458.203082,E, , , , , , ,66.1,010416
091930.0,3206.179668,N,03458.188321,E,1,05,1.5,59.7,M,19.0, , 
091930.0,3206.179668,N,03458.188321,E, , , , , , ,64.4,010416
091931.0,3206.185279,N,03458.178158,E,1,05,1.5,66.9,M,19.0, , 
091931.0,3206.185279,N,03458.178158,E, , , , , , ,61.3,010416
091932.0,3206.190549,N,03458.160620,E,1,05,1.5,66.2,M,19.0, , 
091932.0,3206.190549,N,03458.160620,E, , , , , , ,61.2,010416
092040.0,3206.804502,N,03456.999850,E,1,05,1.5,62.5,M,19.0, , 
092040.0,3206.804502,N,03456.999850,E, , , , , , ,54.7,010416
094804.0,3215.497357,N,03450.228177,E,1,06,1.2,51.3,M,20.0, , 
094804.0,3215.497357,N,03450.228177,E, , , , , , ,0.0,010416
