time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
204404.4,3210.309544,N,03504.581478,E,1,10,0.6,312.5,M,19.0, , 
204404.4,3210.309544,N,03504.581478,E, , , , , , ,19.0,290316
204434.4,3210.273178,N,03504.455643,E,1,07,0.7,293.5,M,19.0, , 
204434.4,3210.273178,N,03504.455643,E, , , , , , ,8.9,290316
204523.4,3210.401942,N,03504.337420,E,1,09,0.7,277.2,M,19.0, , 
204523.4,3210.401942,N,03504.337420,E, , , , , , ,27.1,290316
204524.0,3210.404682,N,03504.333265,E,1,09,0.7,277.1,M,19.0, , 
204524.0,3210.404682,N,03504.333265,E, , , , , , ,27.1,290316
204525.0,3210.410841,N,03504.324231,E,1,10,0.6,286.9,M,19.0, , 
204525.0,3210.410841,N,03504.324231,E, , , , , , ,26.8,290316
