time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
105521.08,3206.156231,N,03510.793381,E,1,08,4.8,593.4,M,19.0, , 
105521.08,3206.156231,N,03510.793381,E, , , , , , ,35.9,040416
105627.81,3206.280399,N,03510.517275,E,1,11,0.8,580.8,M,19.0, , 
105627.81,3206.280399,N,03510.517275,E, , , , , , ,3.9,040416
105755.29,3206.124687,N,03510.088390,E,1,07,1.2,537.1,M,19.0, , 
105755.29,3206.124687,N,03510.088390,E, , , , , , ,20.4,040416
105859.52,3206.219287,N,03510.000491,E,1,10,0.8,535.6,M,19.0, , 
105859.52,3206.219287,N,03510.000491,E, , , , , , ,0.8,040416
110130.91,3206.217186,N,03509.982887,E,1,11,0.8,525.7,M,19.0, , 
110130.91,3206.217186,N,03509.982887,E, , , , , , ,5.2,040416
110139.01,3206.215470,N,03509.981941,E,1,12,1.2,524.3,M,19.0, , 
110139.01,3206.215470,N,03509.981941,E, , , , , , ,0.0,040416
110141.00,3206.215470,N,03509.981941,E,1,12,0.8,523.4,M,19.0, , 
110141.00,3206.215470,N,03509.981941,E, , , , , , ,0.0,040416
110152.00,3206.207909,N,03509.980646,E,1,12,1.2,541.2,M,19.0, , 
110152.00,3206.207909,N,03509.980646,E, , , , , , ,0.7,040416
