time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
081544.926,3854.931,N,07702.496,W,0,00,,,M,, , 
081548.926,3854.933,N,07702.496,W,0,00,,,M,, , 
081552.926,3854.935,N,07702.495,W,0,00,,,M,, , 
081556.926,3854.936,N,07702.495,W,0,00,,,M,, , 
081600.926,3854.938,N,07702.494,W,0,00,,,M,, , 
081604.926,3854.939,N,07702.493,W,0,00,,,M,, , 
081611.926,3854.941,N,07702.492,W,0,04,0.7,,M,, , 
081615.926,3854.942,N,07702.491,W,0,04,0.7,,M,, , 
081619.926,3854.943,N,07702.490,W,0,04,0.7,,M,, , 
081623.926,3854.945,N,07702.489,W,0,04,0.7,,M,, , 
081630.926,3854.947,N,07702.488,W,0,04,0.9,,M,, , 
081634.926,3854.948,N,07702.487,W,0,04,0.9,,M,, , 
081638.926,3854.950,N,07702.486,W,0,04,0.9,,M,, , 
081642.926,3854.951,N,07702.485,W,0,04,0.9,,M,, , 
081646.926,3854.952,N,07702.484,W,0,04,0.9,,M,, , 
081650.926,3854.954,N,07702.483,W,0,04,0.9,,M,, , 
081654.926,3854.955,N,07702.482,W,0,04,0.9,,M,, , 
081658.926,3854.957,N,07702.481,W,0,04,0.9,,M,, , 
081702.926,3854.958,N,07702.479,W,0,04,0.9,,M,, , 
081706.926,3854.959,N,07702.478,W,0,04,0.9,,M,, , 
081713.926,3854.961,N,07702.477,W,0,04,0.6,,M,, , 
081717.926,3854.962,N,07702.476,W,0,04,0.6,,M,, , 
081721.926,3854.963,N,07702.474,W,0,04,0.6,,M,, , 
081725.926,3854.964,N,07702.473,W,0,04,0.6,,M,, , 
081729.926,3854.965,N,07702.472,W,0,04,0.6,,M,, , 
081733.926,3854.966,N,07702.470,W,0,04,0.6,,M,, , 
081740.926,3854.968,N,07702.469,W,0,04,0.1,,M,, , 
081744.926,3854.970,N,07702.469,W,0,04,0.1,,M,, , 
081748.926,3854.971,N,07702.468,W,0,04,0.1,,M,, , 
081752.926,3854.973,N,07702.467,W,0,04,0.1,,M,, , 
081756.926,3854.975,N,07702.467,W,0,04,0.1,,M,, , 
081800.926,3854.976,N,07702.467,W,0,04,0.1,,M,, , 
081804.926,3854.978,N,07702.467,W,0,04,0.1,,M,, , 
081808.926,3854.980,N,07702.468,W,0,04,0.1,,M,, , 
081812.926,3854.982,N,07702.468,W,0,04,0.1,,M,, , 
081816.926,3854.984,N,07702.468,W,0,04,0.1,,M,, , 
081820.926,3854.985,N,07702.468,W,0,04,0.1,,M,, , 
081824.926,3854.987,N,07702.469,W,0,04,0.1,,M,, , 
081828.926,3854.989,N,07702.469,W,0,04,0.1,,M,, , 
081832.926,3854.991,N,07702.470,W,0,04,0.1,,M,, , 
081836.926,3854.992,N,07702.470,W,0,04,0.1,,M,, , 
081840.926,3854.994,N,07702.470,W,0,04,0.1,,M,, , 
081847.926,3854.996,N,07702.470,W,0,04,0.1,,M,, , 
081851.926,3854.998,N,07702.471,W,0,04,0.1,,M,, , 
081855.926,3855.000,N,07702.471,W,0,04,0.1,,M,, , 
081902.926,3855.001,N,07702.471,W,0,04,0.5,,M,, , 
081906.926,3855.003,N,07702.471,W,0,04,0.5,,M,, , 
081910.926,3855.005,N,07702.472,W,0,04,0.5,,M,, , 
081914.926,3855.007,N,07702.472,W,0,04,0.5,,M,, , 
081918.926,3855.008,N,07702.472,W,0,04,0.5,,M,, , 
