time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
082159.577,3854.928,N,07702.499,W,0,00,,,M,, , 
082203.577,3854.927,N,07702.500,W,0,00,,,M,, , 
082210.577,3854.926,N,07702.501,W,0,04,0.1,,M,, , 
082214.577,3854.924,N,07702.501,W,0,04,0.1,,M,, , 
082218.577,3854.922,N,07702.502,W,0,04,0.1,,M,, , 
082222.577,3854.920,N,07702.503,W,0,04,0.1,,M,, , 
082226.577,3854.919,N,07702.503,W,0,04,0.1,,M,, , 
082230.577,3854.917,N,07702.504,W,0,04,0.1,,M,, , 
082234.577,3854.915,N,07702.504,W,0,04,0.1,,M,, , 
082238.577,3854.914,N,07702.505,W,0,04,0.1,,M,, , 
082242.577,3854.913,N,07702.507,W,0,04,0.1,,M,, , 
082246.577,3854.912,N,07702.508,W,0,04,0.1,,M,, , 
082253.577,3854.910,N,07702.508,W,0,04,0.1,,M,, , 
082257.577,3854.908,N,07702.508,W,0,04,0.1,,M,, , 
082301.577,3854.906,N,07702.508,W,0,04,0.1,,M,, , 
082305.577,3854.904,N,07702.509,W,0,04,0.1,,M,, , 
082309.577,3854.903,N,07702.509,W,0,04,0.1,,M,, , 
082313.577,3854.901,N,07702.510,W,0,04,0.1,,M,, , 
082317.577,3854.899,N,07702.509,W,0,04,0.1,,M,, , 
082324.577,3854.898,N,07702.509,W,0,04,0.0,,M,, , 
082328.577,3854.896,N,07702.508,W,0,04,0.0,,M,, , 
082332.577,3854.894,N,07702.508,W,0,04,0.0,,M,, , 
082336.577,3854.892,N,07702.508,W,0,04,0.0,,M,, , 
082343.577,3854.890,N,07702.508,W,0,04,0.2,,M,, , 
082347.577,3854.889,N,07702.509,W,0,04,0.2,,M,, , 
082351.577,3854.887,N,07702.509,W,0,04,0.2,,M,, , 
082358.577,3854.885,N,07702.509,W,0,04,0.6,,M,, , 
082402.577,3854.883,N,07702.509,W,0,04,0.6,,M,, , 
082406.577,3854.881,N,07702.509,W,0,04,0.6,,M,, , 
082413.577,3854.880,N,07702.508,W,0,04,0.3,,M,, , 
082417.577,3854.879,N,07702.507,W,0,04,0.3,,M,, , 
082421.577,3854.878,N,07702.505,W,0,04,0.3,,M,, , 
082425.577,3854.877,N,07702.504,W,0,04,0.3,,M,, , 
082432.577,3854.876,N,07702.502,W,0,04,0.0,,M,, , 
082436.577,3854.875,N,07702.501,W,0,04,0.0,,M,, , 
082443.577,3854.874,N,07702.499,W,0,04,0.6,,M,, , 
082447.577,3854.873,N,07702.498,W,0,04,0.6,,M,, , 
082451.577,3854.872,N,07702.496,W,0,04,0.6,,M,, , 
082455.577,3854.871,N,07702.495,W,0,04,0.6,,M,, , 
082459.577,3854.869,N,07702.494,W,0,04,0.6,,M,, , 
082503.577,3854.867,N,07702.494,W,0,04,0.6,,M,, , 
082507.577,3854.865,N,07702.494,W,0,04,0.6,,M,, , 
082511.577,3854.864,N,07702.494,W,0,04,0.6,,M,, , 
082515.577,3854.862,N,07702.494,W,0,04,0.6,,M,, , 
082519.577,3854.860,N,07702.494,W,0,04,0.6,,M,, , 
082526.577,3854.858,N,07702.494,W,0,04,0.3,,M,, , 
082530.577,3854.856,N,07702.494,W,0,04,0.3,,M,, , 
082534.577,3854.855,N,07702.494,W,0,04,0.3,,M,, , 
082538.577,3854.853,N,07702.494,W,0,04,0.3,,M,, , 
082542.577,3854.851,N,07702.494,W,0,04,0.3,,M,, , 
