time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
211016.96,3854.928,N,07702.498,W,0,00,,,M,, , 
211020.96,3854.926,N,07702.498,W,0,00,,,M,, , 
211024.96,3854.924,N,07702.498,W,0,00,,,M,, , 
211028.96,3854.923,N,07702.499,W,0,00,,,M,, , 
211032.96,3854.921,N,07702.500,W,0,00,,,M,, , 
211036.96,3854.920,N,07702.501,W,0,00,,,M,, , 
211040.96,3854.918,N,07702.502,W,0,00,,,M,, , 
211044.96,3854.917,N,07702.503,W,0,00,,,M,, , 
211051.96,3854.915,N,07702.504,W,0,04,0.7,,M,, , 
211058.96,3854.914,N,07702.505,W,0,04,0.5,,M,, , 
211105.96,3854.913,N,07702.506,W,0,04,0.0,,M,, , 
211109.96,3854.911,N,07702.508,W,0,04,0.0,,M,, , 
211113.96,3854.910,N,07702.509,W,0,04,0.0,,M,, , 
211117.96,3854.909,N,07702.511,W,0,04,0.0,,M,, , 
211121.96,3854.908,N,07702.512,W,0,04,0.0,,M,, , 
211125.96,3854.907,N,07702.513,W,0,04,0.0,,M,, , 
211129.96,3854.906,N,07702.515,W,0,04,0.0,,M,, , 
211133.96,3854.905,N,07702.517,W,0,04,0.0,,M,, , 
211140.96,3854.905,N,07702.518,W,0,04,0.3,,M,, , 
211144.96,3854.904,N,07702.520,W,0,04,0.3,,M,, , 
211148.96,3854.904,N,07702.522,W,0,04,0.3,,M,, , 
211152.96,3854.904,N,07702.523,W,0,04,0.3,,M,, , 
211159.96,3854.905,N,07702.525,W,0,04,0.5,,M,, , 
211203.96,3854.905,N,07702.527,W,0,04,0.5,,M,, , 
211207.96,3854.905,N,07702.529,W,0,04,0.5,,M,, , 
211211.96,3854.905,N,07702.531,W,0,04,0.5,,M,, , 
211215.96,3854.905,N,07702.532,W,0,04,0.5,,M,, , 
211222.96,3854.905,N,07702.534,W,0,04,0.5,,M,, , 
211226.96,3854.905,N,07702.536,W,0,04,0.5,,M,, , 
211230.96,3854.905,N,07702.538,W,0,04,0.5,,M,, , 
211234.96,3854.904,N,07702.539,W,0,04,0.5,,M,, , 
211238.96,3854.904,N,07702.541,W,0,04,0.5,,M,, , 
211245.96,3854.903,N,07702.543,W,0,04,0.6,,M,, , 
211249.96,3854.902,N,07702.545,W,0,04,0.6,,M,, , 
211253.96,3854.902,N,07702.546,W,0,04,0.6,,M,, , 
211300.96,3854.901,N,07702.548,W,0,04,0.5,,M,, , 
211304.96,3854.900,N,07702.549,W,0,04,0.5,,M,, , 
211308.96,3854.899,N,07702.551,W,0,04,0.5,,M,, , 
211312.96,3854.898,N,07702.553,W,0,04,0.5,,M,, , 
211316.96,3854.897,N,07702.554,W,0,04,0.5,,M,, , 
211323.96,3854.897,N,07702.556,W,0,04,0.9,,M,, , 
211327.96,3854.896,N,07702.557,W,0,04,0.9,,M,, , 
211331.96,3854.895,N,07702.559,W,0,04,0.9,,M,, , 
211335.96,3854.894,N,07702.560,W,0,04,0.9,,M,, , 
211339.96,3854.894,N,07702.562,W,0,04,0.9,,M,, , 
211343.96,3854.893,N,07702.564,W,0,04,0.9,,M,, , 
211347.96,3854.893,N,07702.566,W,0,04,0.9,,M,, , 
211351.96,3854.892,N,07702.567,W,0,04,0.9,,M,, , 
211355.96,3854.892,N,07702.569,W,0,04,0.9,,M,, , 
211359.96,3854.892,N,07702.571,W,0,04,0.9,,M,, , 
