time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
165915.196,3854.931,N,07702.498,W,0,00,,,M,, , 
165919.196,3854.933,N,07702.499,W,0,00,,,M,, , 
165923.196,3854.934,N,07702.500,W,0,00,,,M,, , 
165927.196,3854.936,N,07702.501,W,0,00,,,M,, , 
165931.196,3854.937,N,07702.502,W,0,00,,,M,, , 
165935.196,3854.939,N,07702.503,W,0,00,,,M,, , 
165939.196,3854.940,N,07702.504,W,0,00,,,M,, , 
165943.196,3854.941,N,07702.505,W,0,00,,,M,, , 
165950.196,3854.943,N,07702.506,W,0,04,0.4,,M,, , 
165954.196,3854.945,N,07702.507,W,0,04,0.4,,M,, , 
170001.196,3854.946,N,07702.507,W,0,04,0.8,,M,, , 
170005.196,3854.948,N,07702.508,W,0,04,0.8,,M,, , 
170012.196,3854.949,N,07702.509,W,0,04,0.1,,M,, , 
170016.196,3854.951,N,07702.510,W,0,04,0.1,,M,, , 
170023.196,3854.953,N,07702.511,W,0,04,0.2,,M,, , 
170027.196,3854.954,N,07702.511,W,0,04,0.2,,M,, , 
170031.196,3854.956,N,07702.512,W,0,04,0.2,,M,, , 
170038.196,3854.958,N,07702.512,W,0,04,0.7,,M,, , 
170042.196,3854.959,N,07702.514,W,0,04,0.7,,M,, , 
170046.196,3854.959,N,07702.515,W,0,04,0.7,,M,, , 
170050.196,3854.960,N,07702.517,W,0,04,0.7,,M,, , 
170054.196,3854.961,N,07702.519,W,0,04,0.7,,M,, , 
170058.196,3854.962,N,07702.520,W,0,04,0.7,,M,, , 
170102.196,3854.962,N,07702.522,W,0,04,0.7,,M,, , 
170106.196,3854.964,N,07702.523,W,0,04,0.7,,M,, , 
170110.196,3854.965,N,07702.524,W,0,04,0.7,,M,, , 
170114.196,3854.967,N,07702.525,W,0,04,0.7,,M,, , 
170118.196,3854.968,N,07702.525,W,0,04,0.7,,M,, , 
170122.196,3854.970,N,07702.526,W,0,04,0.7,,M,, , 
170126.196,3854.972,N,07702.527,W,0,04,0.7,,M,, , 
170130.196,3854.974,N,07702.527,W,0,04,0.7,,M,, , 
170134.196,3854.975,N,07702.528,W,0,04,0.7,,M,, , 
170138.196,3854.977,N,07702.528,W,0,04,0.7,,M,, , 
170142.196,3854.979,N,07702.528,W,0,04,0.7,,M,, , 
170146.196,3854.981,N,07702.529,W,0,04,0.7,,M,, , 
170153.196,3854.982,N,07702.529,W,0,04,0.1,,M,, , 
170200.196,3854.984,N,07702.530,W,0,04,0.5,,M,, , 
170204.196,3854.986,N,07702.530,W,0,04,0.5,,M,, , 
170208.196,3854.987,N,07702.531,W,0,04,0.5,,M,, , 
170212.196,3854.989,N,07702.531,W,0,04,0.5,,M,, , 
170219.196,3854.991,N,07702.532,W,0,04,0.4,,M,, , 
170223.196,3854.993,N,07702.532,W,0,04,0.4,,M,, , 
170227.196,3854.994,N,07702.532,W,0,04,0.4,,M,, , 
170234.196,3854.996,N,07702.533,W,0,04,1.0,,M,, , 
170238.196,3854.998,N,07702.533,W,0,04,1.0,,M,, , 
170242.196,3855.000,N,07702.534,W,0,04,1.0,,M,, , 
170246.196,3855.001,N,07702.534,W,0,04,1.0,,M,, , 
170250.196,3855.003,N,07702.533,W,0,04,1.0,,M,, , 
170254.196,3855.005,N,07702.533,W,0,04,1.0,,M,, , 
170258.196,3855.007,N,07702.533,W,0,04,1.0,,M,, , 
170302.196,3855.009,N,07702.533,W,0,04,1.0,,M,, , 
170306.196,3855.010,N,07702.533,W,0,04,1.0,,M,, , 
170310.196,3855.012,N,07702.533,W,0,04,1.0,,M,, , 
170314.196,3855.014,N,07702.533,W,0,04,1.0,,M,, , 
170321.196,3855.016,N,07702.532,W,0,04,0.5,,M,, , 
170325.196,3855.017,N,07702.532,W,0,04,0.5,,M,, , 
170332.196,3855.019,N,07702.531,W,0,04,0.1,,M,, , 
170336.196,3855.021,N,07702.530,W,0,04,0.1,,M,, , 
170340.196,3855.022,N,07702.529,W,0,04,0.1,,M,, , 
170347.196,3855.023,N,07702.528,W,0,04,0.2,,M,, , 
170351.196,3855.025,N,07702.527,W,0,04,0.2,,M,, , 
170355.196,3855.026,N,07702.525,W,0,04,0.2,,M,, , 
170359.196,3855.027,N,07702.524,W,0,04,0.2,,M,, , 
170403.196,3855.028,N,07702.523,W,0,04,0.2,,M,, , 
170407.196,3855.029,N,07702.521,W,0,04,0.2,,M,, , 
170411.196,3855.030,N,07702.520,W,0,04,0.2,,M,, , 
170415.196,3855.031,N,07702.518,W,0,04,0.2,,M,, , 
170419.196,3855.031,N,07702.516,W,0,04,0.2,,M,, , 
170423.196,3855.031,N,07702.514,W,0,04,0.2,,M,, , 
170427.196,3855.031,N,07702.513,W,0,04,0.2,,M,, , 
170431.196,3855.032,N,07702.511,W,0,04,0.2,,M,, , 
170435.196,3855.033,N,07702.510,W,0,04,0.2,,M,, , 
170439.196,3855.035,N,07702.509,W,0,04,0.2,,M,, , 
170446.196,3855.037,N,07702.509,W,0,04,0.1,,M,, , 
170450.196,3855.038,N,07702.508,W,0,04,0.1,,M,, , 
170454.196,3855.040,N,07702.508,W,0,04,0.1,,M,, , 
170458.196,3855.042,N,07702.507,W,0,04,0.1,,M,, , 
170502.196,3855.044,N,07702.507,W,0,04,0.1,,M,, , 
170506.196,3855.046,N,07702.507,W,0,04,0.1,,M,, , 
170510.196,3855.047,N,07702.506,W,0,04,0.1,,M,, , 
170514.196,3855.049,N,07702.505,W,0,04,0.1,,M,, , 
170518.196,3855.050,N,07702.504,W,0,04,0.1,,M,, , 
170522.196,3855.052,N,07702.503,W,0,04,0.1,,M,, , 
170526.196,3855.053,N,07702.502,W,0,04,0.1,,M,, , 
170530.196,3855.055,N,07702.501,W,0,04,0.1,,M,, , 
170534.196,3855.056,N,07702.500,W,0,04,0.1,,M,, , 
170538.196,3855.058,N,07702.500,W,0,04,0.1,,M,, , 
170542.196,3855.060,N,07702.499,W,0,04,0.1,,M,, , 
170549.196,3855.061,N,07702.498,W,0,04,0.4,,M,, , 
170553.196,3855.063,N,07702.497,W,0,04,0.4,,M,, , 
170557.196,3855.064,N,07702.496,W,0,04,0.4,,M,, , 
170601.196,3855.066,N,07702.495,W,0,04,0.4,,M,, , 
170605.196,3855.067,N,07702.494,W,0,04,0.4,,M,, , 
170609.196,3855.068,N,07702.493,W,0,04,0.4,,M,, , 
170613.196,3855.069,N,07702.491,W,0,04,0.4,,M,, , 
170617.196,3855.071,N,07702.490,W,0,04,0.4,,M,, , 
170621.196,3855.072,N,07702.489,W,0,04,0.4,,M,, , 
170625.196,3855.073,N,07702.487,W,0,04,0.4,,M,, , 
170629.196,3855.074,N,07702.486,W,0,04,0.4,,M,, , 
170633.196,3855.075,N,07702.485,W,0,04,0.4,,M,, , 
