time,latitude,latitude_direction,longitude,longitude_direction,fix,numOfSat,horizontal_dilution,altitude,direct_of_altitude,altitude_location,speed,date
090000,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000,4051.258014,N,11907.080855,W, , , , , , ,,
090000.050,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.050,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.100,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.100,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.150,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.150,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.200,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.200,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.250,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.250,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.300,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.300,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.350,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.350,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.400,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.400,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.450,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.450,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.500,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.500,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.550,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.550,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.600,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.600,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.650,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.650,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.700,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.700,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.750,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.750,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.800,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.800,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.850,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.850,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.900,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.900,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090000.950,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090000.950,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.050,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.050,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.100,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.100,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.150,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.150,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.200,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.200,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.250,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.250,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.300,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.300,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.350,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.350,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.400,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.400,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.450,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.450,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.500,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.500,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.550,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.550,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.600,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.600,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.650,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.650,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.700,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.700,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.750,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.750,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.800,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
090001.800,4051.258014,N,11907.080855,W, , , , , , ,0.0,
090001.850,4051.258014,N,11907.080855,W,1,5,2.87,160.0,M,-21.321, , 
